,A,B,C
0.0,0.001,0.0,0.0
0.015505,0.0009770112355266965,2.2952939232453225e-05,3.582524069357918e-08
0.064495,0.0009077894778240507,9.160889751713903e-05,6.016246585033389e-07
0.1,0.0008607079777535146,0.00013787387948417432,1.4181427619331267e-06
0.115505,0.0008409213647726458,0.00015720276992605618,1.8758653009204665e-06
0.164495,0.0007813416456838577,0.0002149553768722528,3.7029774435111797e-06
0.2,0.0007408182229685445,0.0002538129417501936,5.368835280881849e-06
0.215505,0.0007237877273231895,0.0002700310374242868,6.181235252143789e-06
0.264495,0.0006725069877911564,0.00031842557912358676,9.06743308487631e-06
0.3,0.0006376281545742083,0.00035092659116512444,1.144525426028482e-05
0.315505,0.0006229698711071546,0.0003644754865242636,1.2554642368199339e-05
0.364495,0.0005788321294868337,0.0004048414775910898,1.6326392921693113e-05
0.4,0.0005488116394822721,0.0004318900464278183,1.9298314089524846e-05
0.415505,0.0005361951379620067,0.0004431496612754321,2.065520076217648e-05
0.464495,0.000498205431629373,0.00047663091049696875,2.516365787327249e-05
0.5,0.0004723665563863773,0.0004990048403646214,2.862860324861409e-05
0.515505,0.0004615074328765455,0.0005083020138900762,3.019055323299103e-05
0.564495,0.0004288093895635344,0.0005358825017651219,3.530810867095565e-05
0.6,0.0004065696635057103,0.0005542508921667853,3.917944432711457e-05
0.615505,0.00039722312926938723,0.0005618667798358369,4.0910090894386106e-05
0.664495,0.00036907966253294866,0.0005843929313769924,4.6527406089668494e-05
0.7,0.0003499377528919267,0.0005993313259692186,5.073092113846295e-05
0.715505,0.00034189311631037714,0.0006055077660235796,5.25991176656516e-05
0.764495,0.00031766980996868384,0.000623707620937831,5.862256909309278e-05
0.8,0.0003011942156312193,0.0006357110461555142,6.309473821287264e-05
0.815505,0.0002942701327473518,0.0006406560392480162,6.507382800423811e-05
0.864495,0.00027342093973148904,0.0006551557516700699,7.142330859804646e-05
0.9,0.00025924026424700274,0.0006646499390354606,7.61097967171407e-05
0.915505,0.00025328065087023145,0.0006685423645351711,7.817698459420153e-05
0.964495,0.00023533558411175553,0.0006798804042893792,8.478401159846835e-05
1.0,0.00022313016359232443,0.0006872314494063037,8.963838700097322e-05
1.015505,0.00021800067681461083,0.0006902251247005821,9.177419848440858e-05
1.064495,0.0002025552146942712,0.0006988645002539567,9.858028505137283e-05
1.1,0.00019204991188136042,0.0007043871762472304,0.00010356291187100814
1.115505,0.00018763492169000115,0.0007066143505571853,0.00010575072775241253
1.164495,0.00017434088922293515,0.0007129531292298397,0.0001127059815468238
1.2,0.00016529889128314644,0.0007169180420575742,0.00011778306665887655
1.215505,0.00016149887400374,0.0007184924035358462,0.0001200087224600111
